I, [2016-12-05T11:20:23.273637 #4808]  INFO -- Kitchen: -----> Starting Kitchen (v1.13.2)
E, [2016-12-05T11:20:23.273989 #4808] ERROR -- Kitchen: ------Exception-------
E, [2016-12-05T11:20:23.274019 #4808] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2016-12-05T11:20:23.274033 #4808] ERROR -- Kitchen: Message: Kitchen YAML file /Users/jesiegel/Desktop/workspace/Rails/chef/alphachannel/.kitchen.yml does not exist.
E, [2016-12-05T11:20:23.274046 #4808] ERROR -- Kitchen: ----------------------
E, [2016-12-05T11:20:23.274066 #4808] ERROR -- Kitchen: ------Backtrace-------
E, [2016-12-05T11:20:23.274076 #4808] ERROR -- Kitchen: /Users/jesiegel/.rvm/gems/ruby-2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2016-12-05T11:20:23.274086 #4808] ERROR -- Kitchen: /Users/jesiegel/.rvm/gems/ruby-2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/config.rb:154:in `data'
E, [2016-12-05T11:20:23.274096 #4808] ERROR -- Kitchen: /Users/jesiegel/.rvm/gems/ruby-2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/config.rb:133:in `suites'
E, [2016-12-05T11:20:23.274106 #4808] ERROR -- Kitchen: /Users/jesiegel/.rvm/gems/ruby-2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/config.rb:184:in `filter_instances'
E, [2016-12-05T11:20:23.274121 #4808] ERROR -- Kitchen: /Users/jesiegel/.rvm/gems/ruby-2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/config.rb:143:in `build_instances'
E, [2016-12-05T11:20:23.274131 #4808] ERROR -- Kitchen: /Users/jesiegel/.rvm/gems/ruby-2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/config.rb:119:in `instances'
E, [2016-12-05T11:20:23.274140 #4808] ERROR -- Kitchen: /Users/jesiegel/.rvm/gems/ruby-2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/command.rb:115:in `filtered_instances'
E, [2016-12-05T11:20:23.274150 #4808] ERROR -- Kitchen: /Users/jesiegel/.rvm/gems/ruby-2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/command.rb:145:in `parse_subcommand'
E, [2016-12-05T11:20:23.274163 #4808] ERROR -- Kitchen: /Users/jesiegel/.rvm/gems/ruby-2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/command/action.rb:38:in `block in call'
E, [2016-12-05T11:20:23.274184 #4808] ERROR -- Kitchen: /Users/jesiegel/.rvm/rubies/ruby-2.3.0/lib/ruby/2.3.0/benchmark.rb:293:in `measure'
E, [2016-12-05T11:20:23.274195 #4808] ERROR -- Kitchen: /Users/jesiegel/.rvm/gems/ruby-2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/command/action.rb:37:in `call'
E, [2016-12-05T11:20:23.274204 #4808] ERROR -- Kitchen: /Users/jesiegel/.rvm/gems/ruby-2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/cli.rb:56:in `perform'
E, [2016-12-05T11:20:23.274217 #4808] ERROR -- Kitchen: /Users/jesiegel/.rvm/gems/ruby-2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/cli.rb:186:in `block (2 levels) in <class:CLI>'
E, [2016-12-05T11:20:23.274227 #4808] ERROR -- Kitchen: /Users/jesiegel/.rvm/gems/ruby-2.3.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2016-12-05T11:20:23.274236 #4808] ERROR -- Kitchen: /Users/jesiegel/.rvm/gems/ruby-2.3.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2016-12-05T11:20:23.274245 #4808] ERROR -- Kitchen: /Users/jesiegel/.rvm/gems/ruby-2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/cli.rb:334:in `invoke_task'
E, [2016-12-05T11:20:23.274266 #4808] ERROR -- Kitchen: /Users/jesiegel/.rvm/gems/ruby-2.3.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2016-12-05T11:20:23.274275 #4808] ERROR -- Kitchen: /Users/jesiegel/.rvm/gems/ruby-2.3.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2016-12-05T11:20:23.274290 #4808] ERROR -- Kitchen: /Users/jesiegel/.rvm/gems/ruby-2.3.0/gems/test-kitchen-1.13.2/bin/kitchen:13:in `block in <top (required)>'
E, [2016-12-05T11:20:23.274303 #4808] ERROR -- Kitchen: /Users/jesiegel/.rvm/gems/ruby-2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/errors.rb:174:in `with_friendly_errors'
E, [2016-12-05T11:20:23.274318 #4808] ERROR -- Kitchen: /Users/jesiegel/.rvm/gems/ruby-2.3.0/gems/test-kitchen-1.13.2/bin/kitchen:13:in `<top (required)>'
E, [2016-12-05T11:20:23.274328 #4808] ERROR -- Kitchen: /Users/jesiegel/.rvm/gems/ruby-2.3.0/bin/kitchen:23:in `load'
E, [2016-12-05T11:20:23.274337 #4808] ERROR -- Kitchen: /Users/jesiegel/.rvm/gems/ruby-2.3.0/bin/kitchen:23:in `<main>'
E, [2016-12-05T11:20:23.274366 #4808] ERROR -- Kitchen: /Users/jesiegel/.rvm/gems/ruby-2.3.0/bin/ruby_executable_hooks:15:in `eval'
E, [2016-12-05T11:20:23.274378 #4808] ERROR -- Kitchen: /Users/jesiegel/.rvm/gems/ruby-2.3.0/bin/ruby_executable_hooks:15:in `<main>'
E, [2016-12-05T11:20:23.274388 #4808] ERROR -- Kitchen: ----End Backtrace-----
